FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
,Aribo,MID,SOU,5500000,2,2,2,3.63636363636364E-07,3.63636363636364E-07,0,5545,0,4,0,0,0,0,0,0.4,5545,0,0,2,0,0.4,0,2,0,0,0,0,0,0.6,4158,0,-1,0,0,90,4158,0,0,5,Leeds United F.C.,Leicester,Man Utd,Chelsea,Wolverhampton,1.3,1,1.7,1.2,1,1.6,1.7,1.9,1,1.8,1,1.2,1.3,1.3,1,1.1,1.5,2.3,1.5,2.1,1.2,1.1,1,1,1.4,1.3,1.2,1.4,1.2,1.7,1,1.3,1,1.9,1.9,1,1.3
Kepa,Arrizabalaga,GLK,CHE,4500000,0,0,0,0,0,0,2505,0,0,0,0,0,0,0,0,2505,0,0,0,0,0,0,0,0,0,0,0,0,0.2,960,0,-1,0,0,0,960,0,0,0,Tottenham,Leeds United F.C.,Leicester,Southampton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry,Arter,MID,NFO,4500000,0,0,0,0,0,0,2915,0,0,0,0,0,0,0,0,2915,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1001,0,-1,0,0,0,1001,0,0,0,West Ham,Everton,Tottenham,Man City,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison,Ashby,DEF,WHU,4000000,0,0,0,0,0,0,2030,0,0,0,0,0,0,0,0,2030,0,0,0,0,0,0,0,0,0,0,0,0,0.3,4157,0,-1,0,0,0,4157,0,0,0,Nottingham Forest FC,Brighton,Aston Villa,Tottenham,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ludwig,Augustinsson,DEF,AVL,4500000,0,0,0,0,0,0,853,0,0,0,0,0,0,0,0,853,0,0,0,0,0,0,0,0,0,0,0,0,0.1,299,0,-1,0,0,0,299,0,0,0,Everton,Crystal Palace,West Ham,Arsenal,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon,Austin,GLK,TOT,4000000,0,0,0,0,0,0,1512,0,0,0,0,0,0,0,0,1512,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1116,0,-1,0,0,0,1116,0,0,0,Chelsea,Wolverhampton,Nottingham Forest FC,West Ham,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwo,Awoniyi,FWD,NFO,6000000,1,1,1,1.66666666666667E-07,1.66666666666667E-07,0,18178,0,1,0,0,0,0,0,0.2,18178,0,0,1,0,0.2,0,1,0,0,0,0,0,0.9,2301,0,-1,0,0,27,2301,0,0,6,West Ham,Everton,Tottenham,Man City,Bournemouth,1,0.5,0.5,0.5,0.5,0.5,0.9,0.5,1.1,1,0.5,1.1,0.5,0.8,1.4,1.2,0.5,1.2,0.6,0.5,0.7,0.7,0.5,0.8,0.7,0.5,0.5,1.2,0.9,1.3,0.9,0.7,0.6,1.4,0.5,0.5,1.2
Jordan,Ayew,MID,CRY,5500000,2,2,2,3.63636363636364E-07,3.63636363636364E-07,0,3994,0,2,0,0,0,0,0,0.4,3994,0,0,2,0,0.4,0,2,0,0,0,0,0,0.3,3510,0,-1,0,0,90,3510,0,0,5,Liverpool,Aston Villa,Man City,Brentford F.C.,Newcastle,1,2.1,1,1.6,1,1.7,1,1.2,1.3,1,1.1,1.5,1.2,1.4,1.9,1.9,1,1.2,1,1.3,1.3,1.1,1.2,1.3,1.7,1.2,1,1.4,1,1,1.9,1,1.8,1,1.3,1.5,2.3
Luke,Ayling,DEF,LEE,4500000,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,-1,0,0,0,134,0,0,0,Southampton,Chelsea,Brighton,Everton,Brentford F.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesar,Azpilicueta,DEF,CHE,5000000,7,7,7,1.4E-06,1.4E-06,0,14069,0,0,0,0,0,0,0,1.4,14069,0,0,7,0,1.4,0,7,1,0,1,0,0,2.1,36989,0,-1,0,0,90,36989,0,0,30,Tottenham,Leeds United F.C.,Leicester,Southampton,West Ham,9.9,8.7,9.9,8.7,9.9,6.6,8.8,8.7,9.9,8.7,6.3,9.9,8.2,9.9,8.7,9.5,8.7,7.7,9.9,7.5,8,8.7,9.9,8.7,9.9,8.7,9.9,9.9,8.7,9.5,8.7,7.7,8.7,8.2,9.9,6.3,9.9
